DISTRICT_NAME,TALUKA_NAME,Latitude,Longitude,RICE,WHEAT,KHARIP_JOWAR,RABBI_JOWAR,BAJRA,MAIZE,WARI,RAGI,RALA,SAWA,BHADALI,GRAM,TUR,MUNG,UDID,KULITH,MATH,BEANS,PEAS,SUGARCANE,CHILLI,GARLIC,MANGO,GRAPES,CITRUS,BANANA,POTATOS,ONIONS,BRINJALS,TOMATOSP,COTTON,GROUNDNUTS,SUNFLOWER,SAFFLOWER_AR_UNDR_CROP,SOYABEAN
 Chandrapur , Jiwati ,19.6363683,79.0729793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Chandrapur , Rajura ,19.7774571,79.3662675,2790,1270,984,1626,0,4,0,0,0,0,0,240,398,132,189,101,4,49,82,0,553,1,62,0,10,2,0,17,3,8,2163,0,0,0,0
 Chandrapur , Gondpipri ,19.7153743,79.6852904,11406,372,1004,1385,0,6,0,0,0,0,0,246,737,335,135,381,18,90,41,0,808,0,45,0,2,0,0,25,7,21,3214,1,0,0,0
 Dhule , Shirpur ,21.3495981,74.8797127,0,1456,2181,1361,3404,0,0,0,0,0,0,293,282,4512,975,0,51,0,0,1729,242,1,3,0,33,352,0,84,27,10,31311,1502,0,0,304
 Dhule , Shindkhed ,19.9525432,76.1259607,0,1370,6058,0,18283,0,0,0,0,0,0,966,590,10402,404,589,439,0,0,266,1099,0,0,0,34,16,0,2231,9,0,45984,4827,4,0,0
 Dhule , Sakri ,20.9926045,74.3140742,12442,6164,4,2122,1942,305,0,921,780,0,0,1581,137,544,1580,11885,546,0,0,3545,1077,61,143,44,0,0,0,3523,195,48,349892,3055,0,0,3691
 Dhule , Dhule ,20.9042201,74.7748979,14,2332,12926,0,3112,180,0,0,0,0,0,1496,1118,771,523,3563,511,0,0,207,942,13,0,0,0,0,0,2225,0,0,40853,1055,0,0,121
 Gadchiroli , Desaiganj (Vadasa) ,20.6202144,79.9653802,10802,141,0,304,0,0,0,0,0,0,0,111,21,123,62,3,3,120,54,0,63,18,371,0,0,0,0,4,5,45,18,2,1,5,376
 Gadchiroli , Armori ,20.4663454,79.9831032,17837,148,0,344,0,0,0,0,0,0,0,426,214,175,122,6,0,242,22,0,215,31,353,0,4,0,2,21,34,34,24,3,0,1,388
 Gadchiroli , Kurkheda ,20.6198537,80.2084273,13446,358,0,526,0,0,0,0,0,0,0,318,72,84,143,27,61,356,41,0,450,28,215,0,4,0,0,92,24,21,29,2,1,3,235
 Gadchiroli , Korchi ,20.7171349,80.4701964,9718,0,0,319,0,0,0,0,0,0,0,179,193,140,179,54,14,141,21,0,96,9,605,0,0,0,1,7,13,2,14,0,0,5,39
 Gadchiroli , Dhanora ,20.2731832,80.3073826,16800,0,0,812,0,0,0,0,0,0,52,288,146,71,57,10,8,33,16,0,281,7,421,0,3,0,3,10,11,15,8,8,0,0,52
 Gadchiroli , Gadchiroli ,20.184871,79.9947956,12680,206,0,615,0,0,0,0,0,0,0,211,154,504,276,4,1,335,59,0,124,24,831,0,2,0,3,45,20,39,56,1,0,0,419
 Gadchiroli , Chamorshi ,19.9404944,79.8912813,9656,161,0,428,0,0,0,0,0,0,0,436,253,61,65,81,3,152,6,0,254,9,152,0,2,0,5,39,59,9,48,0,0,0,295
 Gadchiroli , Mulchera ,19.6788188,80.0050903,11907,0,0,867,0,0,0,0,0,0,0,131,85,39,24,26,0,359,15,0,25,12,192,0,0,0,0,17,25,10,16,1,0,0,318
 Gadchiroli , Etapalli ,19.5987769,80.2269099,13314,0,0,1014,0,0,0,0,0,0,16,2,341,124,88,5,9,214,14,0,72,16,187,0,0,0,0,14,3,4,32,0,0,0,123
 Gadchiroli , Bhamragad ,19.4148142,80.5896685,10885,0,0,889,0,0,0,0,0,0,12,19,103,30,15,41,7,377,12,0,117,10,95,0,0,0,0,6,5,1,20,0,0,0,219
 Gadchiroli , Aheri ,19.4133545,80.0059101,9454,0,0,456,0,0,0,0,0,0,0,100,34,85,20,12,0,222,21,0,55,14,224,0,0,0,0,52,7,21,13,5,0,0,272
 Gadchiroli , Sironcha ,18.8477159,79.9612368,7574,0,0,623,0,0,0,0,0,0,8,6,117,35,45,25,0,149,13,0,327,7,338,0,2,0,4,64,12,9,95,8,4,0,65
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,1,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,1,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,0,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,0,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,1,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,1,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,0,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,0,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,1,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,1,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,0,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,0,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,1,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,1,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,0,32,67,0,77,0,3,0,0,0
 Gondiya , Tirora ,21.4068321,79.9309055,26747,322,0,0,0,0,0,0,0,0,0,375,0,5,53,0,0,74,0,15,115,48,3,0,0,0,32,67,0,77,0,3,0,0,0
 Hingoli , Sengaon ,19.7929498,76.8865085,510,0,1800,0,0,50,0,0,0,0,0,0,0,5000,15700,0,50,0,25,0,50,30,150,1,113,0,0,0,5,3,14000,75,520,0,19000
